zip,metro,0br,1br,2br,3br,4br
75428,"Dallas, TX HUD Metro FMR Area",840,930,1110,1430,1900
75433,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75442,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75448,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75449,"Dallas, TX HUD Metro FMR Area",740,810,970,1250,1660
75452,"Dallas, TX HUD Metro FMR Area",650,710,850,1100,1450
75453,"Dallas, TX HUD Metro FMR Area",830,910,1090,1410,1860
75454,"Dallas, TX HUD Metro FMR Area",1280,1410,1680,2170,2870
75458,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75469,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75474,"Dallas, TX HUD Metro FMR Area",820,910,1080,1390,1840
75485,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75491,"Dallas, TX HUD Metro FMR Area",580,690,840,1130,1340
75495,"Dallas, TX HUD Metro FMR Area",810,970,1170,1580,1790
75496,"Dallas, TX HUD Metro FMR Area",690,750,900,1160,1540
76041,"Dallas, TX HUD Metro FMR Area",930,1030,1220,1580,2090
76050,"Dallas, TX HUD Metro FMR Area",730,830,1010,1350,1690
76051,"Dallas, TX HUD Metro FMR Area",1160,1320,1600,2140,2680
76052,"Dallas, TX HUD Metro FMR Area",1330,1500,1820,2420,3030
76055,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
76063,"Dallas, TX HUD Metro FMR Area",1140,1290,1570,2100,2620
76064,"Dallas, TX HUD Metro FMR Area",840,920,1100,1420,1880
76065,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
76078,"Dallas, TX HUD Metro FMR Area",1110,1140,1310,1680,1840
76084,"Dallas, TX HUD Metro FMR Area",840,950,1150,1540,1930
76092,"Dallas, TX HUD Metro FMR Area",1220,1370,1650,2180,2780
76177,"Dallas, TX HUD Metro FMR Area",1190,1340,1630,2170,2730
76201,"Dallas, TX HUD Metro FMR Area",940,1040,1240,1600,2120
76202,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
76204,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
76205,"Dallas, TX HUD Metro FMR Area",1020,1120,1340,1730,2290
76206,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
76207,"Dallas, TX HUD Metro FMR Area",1070,1170,1400,1810,2390
76208,"Dallas, TX HUD Metro FMR Area",1100,1220,1450,1870,2480
76209,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
76210,"Dallas, TX HUD Metro FMR Area",1260,1390,1660,2140,2840
76226,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
76227,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
76234,"Dallas, TX HUD Metro FMR Area",980,1000,1140,1470,1580
76247,"Dallas, TX HUD Metro FMR Area",1230,1360,1620,2090,2770
76249,"Dallas, TX HUD Metro FMR Area",1140,1260,1500,1940,2560
76258,"Dallas, TX HUD Metro FMR Area",1000,1110,1320,1700,2250
76259,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1840,2440
76262,"Dallas, TX HUD Metro FMR Area",1120,1240,1490,1950,2530
76266,"Dallas, TX HUD Metro FMR Area",1100,1210,1440,1860,2460
76272,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
76623,"Dallas, TX HUD Metro FMR Area",780,870,1030,1330,1750
76626,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
76641,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
76651,"Dallas, TX HUD Metro FMR Area",720,800,950,1230,1620
76670,"Dallas, TX HUD Metro FMR Area",910,1000,1190,1540,2030
75022,"Fort Worth-Arlington, TX HUD Metro FMR Area",1540,1700,2030,2620,3470
75028,"Fort Worth-Arlington, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75050,"Fort Worth-Arlington, TX HUD Metro FMR Area",990,1090,1310,1700,2220
75051,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,950,1140,1480,1940
75052,"Fort Worth-Arlington, TX HUD Metro FMR Area",1120,1250,1500,1960,2550
75053,"Fort Worth-Arlington, TX HUD Metro FMR Area",950,1060,1270,1660,2150
75054,"Fort Worth-Arlington, TX HUD Metro FMR Area",1350,1530,1860,2490,3110
75261,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76001,"Fort Worth-Arlington, TX HUD Metro FMR Area",1220,1380,1680,2250,2810
76002,"Fort Worth-Arlington, TX HUD Metro FMR Area",1350,1530,1860,2490,3110
76003,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76004,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76005,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76006,"Fort Worth-Arlington, TX HUD Metro FMR Area",970,1100,1340,1790,2240
76007,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76008,"Fort Worth-Arlington, TX HUD Metro FMR Area",1220,1380,1680,2250,2810
76009,"Fort Worth-Arlington, TX HUD Metro FMR Area",850,960,1170,1570,1960
76010,"Fort Worth-Arlington, TX HUD Metro FMR Area",830,940,1140,1520,1910
76011,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,970,1180,1580,1970
76012,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,980,1190,1590,1990
76013,"Fort Worth-Arlington, TX HUD Metro FMR Area",830,950,1150,1540,1920
76014,"Fort Worth-Arlington, TX HUD Metro FMR Area",980,1110,1350,1810,2260
